city,alt_names,oblast,pop_k,tier,status,scan,new_vs_v2,ambiguous,note,stems,regex
Стрий,,Львівська,60,A,free,yes,new,,,Стрий|Стрию|Стрия|Стриєм,Стрий|Стрию|Стрия|Стриєм
Сорокине,Краснодон,Луганська,60,A,occupied,no,new,,,Сорокин|Краснодон,Сорокин|Краснодон
Чорноморськ,Іллічівськ,Одеська,59,A,free,yes,new,,,Чорноморсь|Іллічівсь,Чорноморсь|Іллічівсь
Рубіжне,,Луганська,57,A,occupied,no,new,,,Рубіжн,Рубіжн
Харцизьк,,Донецька,57,A,occupied,no,new,,,Харцизь,Харцизь
Звягель,Новоград-Волинський,Житомирська,56,A,free,yes,new,yes,перейм. 2022 — шукай обидві назви,Звягел|Новоград-Волинськ,Звягел|Новоград\-Волинськ
Дружківка,,Донецька,56,A,frontline,yes,new,,,Дружківк|Дружківц,Дружківк|Дружківц
Лозова,,Харківська,55,A,free,yes,new,yes,збіг з «лозова» (прикметник),Лозов,Лозов
Чистякове,Торез,Донецька,54,A,occupied,no,new,,,Чистяков|Торез,Чистяков|Торез
Прилуки,,Чернігівська,53,A,free,yes,new,,,Прилук,Прилук
Антрацит,,Луганська,53,A,occupied,no,new,,,Антрацит,Антрацит
Енергодар,,Запорізька,53,A,occupied,no,new,,,Енергодар,Енергодар
Горішні Плавні,Комсомольськ,Полтавська,51,A,free,yes,new,,,Горішні Плавні|Горішніх Плавн|Горішнім Плавням|Горішніми Плавнями|Комсомольсь,Горішні\ Плавні|Горішніх\ Плавн|Горішнім\ Плавням|Горішніми\ Плавнями|Комсомольсь
Нововолинськ,,Волинська,51,A,free,yes,new,,,Нововолинсь,Нововолинсь
Шахтарськ,,Донецька,49,B,occupied,no,new,,,Шахтарсь,Шахтарсь
Білгород-Дністровський,,Одеська,48,B,free,optional,new,,,Білгород-Дністровськ|Білгорода-Дністровськ|Білгороді-Дністровськ|Білгородом-Дністровськ,Білгород\-Дністровськ|Білгорода\-Дністровськ|Білгороді\-Дністровськ|Білгородом\-Дністровськ
Охтирка,,Сумська,47,B,free,optional,new,,,Охтирк|Охтирц,Охтирк|Охтирц
Сніжне,,Донецька,47,B,occupied,no,new,,,Сніжн,Сніжн
Ізюм,,Харківська,45,B,free,optional,new,,,Ізюм,Ізюм
Лубни,,Полтавська,45,B,free,optional,new,,,Лубн|Лубен,Лубн|Лубен
Марганець,,Дніпропетровська,45,B,frontline,optional,new,yes,збіг з хім. елементом,Марганець|Марганц,Марганець|Марганц
Мирноград,,Донецька,45,B,frontline,optional,new,yes,статус на липень 2026 перевір окремо,Мирноград,Мирноград
Нова Каховка,,Херсонська,45,B,occupied,no,new,,,Нова Каховка|Нової Каховки|Новій Каховці|Нову Каховку|Новою Каховкою,Нова\ Каховка|Нової\ Каховки|Новій\ Каховці|Нову\ Каховку|Новою\ Каховкою
Брянка,,Луганська,45,B,occupied,no,new,,,Брянк|Брянц,Брянк|Брянц
Ровеньки,,Луганська,45,B,occupied,no,new,,,Ровеньк,Ровеньк
Фастів,,Київська,44,B,free,optional,new,,,Фастів|Фастов,Фастів|Фастов
Жовті Води,,Дніпропетровська,43,B,free,optional,new,,,Жовті Води|Жовтих Вод|Жовтим Водам|Жовтими Водами,Жовті\ Води|Жовтих\ Вод|Жовтим\ Водам|Жовтими\ Водами
Світловодськ,,Кіровоградська,43,B,free,optional,new,,,Світловодсь,Світловодсь
Вараш,Кузнецовськ,Рівненська,42,B,free,optional,new,,,Вараш|Кузнецовсь,Вараш|Кузнецовсь
Вишневе,,Київська,42,B,free,optional,new,yes,збіг з «вишневе» (прикметник),Вишнев,Вишнев
Шепетівка,,Хмельницька,40,B,free,optional,new,,,Шепетівк|Шепетівц,Шепетівк|Шепетівц
Подільськ,Котовськ,Одеська,40,B,free,optional,new,yes,"збіг з «подільський» (Поділля, райони)",Подільсь|Котовсь,Подільсь|Котовсь
Южноукраїнськ,,Миколаївська,39,B,free,optional,new,,,Южноукраїнсь,Южноукраїнсь
Миргород,,Полтавська,38,B,free,optional,new,,,Миргород,Миргород
Ромни,,Сумська,38,B,free,optional,new,,,Ромн|Ромен,Ромн|Ромен
Первомайський,,Харківська,38,B,free,optional,new,yes,плутається з Первомайськом — розрізняй за областю,Первомайськ,Первомайськ
Покров,Орджонікідзе,Дніпропетровська,38,B,free,optional,new,yes,збіг зі святом Покрови,Покров|Орджонікідз,Покров|Орджонікідз
Нетішин,,Хмельницька,38,B,free,optional,new,,,Нетішин,Нетішин
Володимир,Володимир-Волинський,Волинська,38,B,free,optional,new,yes,"збіг з ім'ям — шукай «у Володимирі» + область, або стару назву",Володимир|Володимир-Волинськ,Володимир|Володимир\-Волинськ
Джанкой,,АР Крим,38,B,occupied,no,new,,,Джанкой,Джанкой
Буча,,Київська,37,B,free,optional,new,yes,збіг з «буча» (гармидер); багато згадок не про протести,Буч,Буч
Дубно,,Рівненська,37,B,free,optional,new,,,Дубн,Дубн
Васильків,,Київська,36,B,free,optional,new,,,Васильків|Васильков,Васильків|Васильков
Боярка,,Київська,35,B,free,optional,new,,,Боярк|Боярц,Боярк|Боярц
Славута,,Хмельницька,35,B,free,optional,new,yes,не плутати зі Славутичем,Славут,Славут
Самбір,,Львівська,34,B,free,optional,new,,,Самбір|Самбор,Самбір|Самбор
Жмеринка,,Вінницька,34,B,free,optional,new,,,Жмеринк|Жмеринц,Жмеринк|Жмеринц
Старокостянтинів,,Хмельницька,34,B,free,optional,new,,,Старокостянтинів|Старокостянтинов,Старокостянтинів|Старокостянтинов
Вознесенськ,,Миколаївська,34,B,free,optional,new,,,Вознесенсь,Вознесенсь
Ясинувата,,Донецька,34,B,occupied,no,new,,,Ясинуват,Ясинуват
Обухів,,Київська,33,B,free,optional,new,,,Обухів|Обухов,Обухів|Обухов
Глухів,,Сумська,32,B,free,optional,new,,,Глухів|Глухов,Глухів|Глухов
Вишгород,,Київська,32,B,free,optional,new,,,Вишгород,Вишгород
Борислав,,Львівська,32,B,free,optional,new,yes,не плутати з Бориспо­лем,Борислав,Борислав
Южне,,Одеська,32,B,free,optional,new,yes,збіг з «южне» (розм.),Южн,Южн
Костопіль,,Рівненська,31,B,free,optional,new,,,Костопіл|Костопол,Костопіл|Костопол
Чугуїв,,Харківська,31,B,free,optional,new,,,Чугуїв|Чугуєв,Чугуїв|Чугуєв
Синельникове,,Дніпропетровська,30,B,free,optional,new,,,Синельников,Синельников
Могилів-Подільський,,Вінницька,30,B,free,optional,new,,,Могилів-Поділ|Могилева-Поділ|Могилеві-Поділ|Могилевом-Поділ,Могилів\-Поділ|Могилева\-Поділ|Могилеві\-Поділ|Могилевом\-Поділ
Токмак,,Запорізька,30,B,occupied,no,new,,,Токма,Токма
Сарни,,Рівненська,29,B,free,optional,new,,,Сарн,Сарн
Алушта,,АР Крим,29,B,occupied,no,new,,,Алушт,Алушт
Хмільник,,Вінницька,28,B,free,optional,new,,,Хмільни,Хмільни
Чортків,,Тернопільська,28,B,free,optional,new,,,Чортків|Чортков,Чортків|Чортков
Трускавець,,Львівська,28,B,free,optional,new,,,Трускавець|Трускавц,Трускавець|Трускавц
Новий Розділ,,Львівська,28,B,free,optional,new,yes,збіг з «розділ» — лише повні відмінкові форми,Новий Розділ|Нового Розділу|Новому Розділі|Новим Розділом,Новий\ Розділ|Нового\ Розділу|Новому\ Розділі|Новим\ Розділом
Першотравенськ,,Дніпропетровська,28,B,free,optional,new,,,Першотравенсь,Першотравенсь
Хуст,,Закарпатська,28,B,free,optional,new,,,Хуст,Хуст
Добропілля,,Донецька,28,B,frontline,optional,new,,,Добропілл,Добропілл
Золотоноша,,Черкаська,28,B,free,optional,new,,,Золотонош,Золотонош
Каховка,,Херсонська,28,B,occupied,no,new,,,Каховк|Каховц,Каховк|Каховц
Тернівка,,Дніпропетровська,27,B,free,optional,new,,,Тернівк|Тернівц,Тернівк|Тернівц
Переяслав,Переяслав-Хмельницький,Київська,26,B,free,optional,new,,,Переяслав|Переяслав-Хмельницьк,Переяслав|Переяслав\-Хмельницьк
Малин,,Житомирська,26,B,free,optional,new,yes,збіг з «малина» частковий,Малин,Малин
Балаклія,,Харківська,26,B,free,optional,new,,,Балаклі,Балаклі
Куп'янськ,,Харківська,26,B,frontline,optional,new,yes,статус на липень 2026 перевір окремо,Куп'янсь,Куп'янсь
Бахчисарай,,АР Крим,26,B,occupied,no,new,,,Бахчисарай,Бахчисарай
Славутич,,Київська,25,B,free,optional,new,yes,геогр. на Чернігівщині; не плутати зі Славутою,Славутич,Славутич
Гайсин,,Вінницька,25,B,free,optional,new,,,Гайсин,Гайсин
Виноградів,,Закарпатська,25,B,free,optional,new,yes,збіг з «виноград»,Виноградів|Виноградов,Виноградів|Виноградов
Красноперекопськ,Яни Капу,АР Крим,25,B,occupied,no,new,,,Красноперекопсь|Яни Капу,Красноперекопсь|Яни\ Капу
Саки,,АР Крим,25,B,occupied,no,new,,,Сак,Сак
Дебальцеве,,Донецька,25,B,occupied,no,new,,,Дебальцев,Дебальцев
Лебедин,,Сумська,24,B,free,optional,new,,,Лебедин,Лебедин
Здолбунів,,Рівненська,24,B,free,optional,new,,,Здолбунів|Здолбунов,Здолбунів|Здолбунов
Олешки,,Херсонська,24,B,occupied,no,new,,,Олешк,Олешк
Берегове,,Закарпатська,23,B,free,optional,new,yes,збіг з «берегове» (прикметник),Берегов,Берегов
Канів,,Черкаська,23,B,free,optional,new,,,Канів|Канев,Канів|Канев
Вільногірськ,,Дніпропетровська,23,B,free,optional,new,,,Вільногірсь,Вільногірсь
Золочів,,Львівська,23,B,free,optional,new,yes,є смт Золочів на Харківщині,Золочів|Золочев,Золочів|Золочев
Надвірна,,Івано-Франківська,22,B,free,optional,new,yes,збіг з «надвірний» (прикметник),Надвірн,Надвірн
Знам'янка,,Кіровоградська,22,B,free,optional,new,,,Знам'янк|Знам'янц,Знам'янк|Знам'янц
Ладижин,,Вінницька,22,B,free,optional,new,,,Ладижин,Ладижин
Козятин,,Вінницька,22,B,free,optional,new,,,Козятин,Козятин
Гадяч,,Полтавська,22,B,free,optional,new,,,Гадяч,Гадяч
Мерефа,,Харківська,21,B,free,optional,new,,,Мереф,Мереф
Армянськ,,АР Крим,21,B,occupied,no,new,,,Армянсь,Армянсь
Люботин,,Харківська,20,B,free,optional,new,,,Люботин,Люботин
Красноград,,Харківська,20,B,free,optional,new,,,Красноград,Красноград
Кременець,,Тернопільська,20,B,free,optional,new,yes,не плутати з Кременчуком,Кременець|Кременц,Кременець|Кременц
Долина,,Івано-Франківська,20,B,free,optional,new,yes,"збіг з «долина» — лише з великої літери, перевіряй контекст",Долин,Долин
Лиман,,Донецька,20,B,frontline,optional,new,yes,збіг з «лиман» (загальна назва),Лиман,Лиман
Сокаль,,Львівська,20,B,free,optional,new,,,Сокал,Сокал
Генічеськ,,Херсонська,20,B,occupied,no,new,,,Генічесь,Генічесь
