city,oblast,lat,lon,category,quote_uk,quote_en,time,source,link,contested,status,first_day,last_day,days_active,peak_day,note
Vinnytsia,Vinnytsia,49.2331,28.4682,100–999,майже 120 людей,almost 120 people,15:26,Suspilne Vinnytsia (dialogue police),https://suspilne.media/vinnytsia/1356354-u-vinnici-prohodit-akcia-na-pidtrimku-zvilnenogo-ministra-oboroni-mihajla-fedorova/,no,ended,2026-07-16,2026-08-03,5,2026-07-16,"New in the 15:00 run. At 13:00 no figure existed in any of the six sources checked. A dialogue-police count now exists. Independence Square, by the city council."
Poltava,Poltava,49.5883,34.5514,100–999,зібралися орієнтовно 130 людей,roughly 130 people gathered,"20 Jul (day 5), 20:00",Suspilne Poltava,https://suspilne.media/poltava/1359860-u-poltavi-sostij-den-mitinguut-proti-vidstavki-ministra-oboroni/,yes,ended,2026-07-16,2026-07-31,6,2026-07-20,"At 13:00 Suspilne carried no figure, and NV's «близько сотні» was treated as a false attribution. NV was in fact ahead of Suspilne, which now carries that figure. Local outlets poltava.to and kolo.news counted «близько 70» themselves. Theatre Square. REVISED in the 6 Aug run: the peak is day 5, not day 1 — «близько 20:00 у центрі міста зібралися орієнтовно 130 людей» (Suspilne Poltava). «Майже вісім десятків» on 24 July, «понад сотню» for the 31 July march."
Zaporizhzhia,Zaporizhzhia,47.8388,35.1396,<100,близько 60 місцевих жителів,about 60 local residents,09:48,Suspilne Zaporizhzhia,https://suspilne.media/zaporizhzhia/1356314-ruki-get-vid-fedorova-u-zaporizzi-vidbuvsa-kartonnij-miting-na-pidtrimku-ministra-oboroni-ukraini/,no,ended,2026-07-16,2026-08-17,11,2026-07-16,"Held despite an air-raid alert. Relatives of fallen soldiers attended, including a woman carrying a photograph of her son killed near Pokrovsk. Shevchenko Boulevard, opposite the city council. The article dateModified reads 15:07, but the text is the morning version: the figure is valid for 09:48. 1 SEP UPDATE: last documented action 2026-08-17; 11 distinct documented action days."
Kropyvnytskyi,Kirovohrad,48.5079,32.2623,100–999,до акції долучилися півтори сотні людей,a hundred and fifty people joined the action,19 Jul (day 4),Suspilne Kropyvnytskyi (co-organiser Denys Markov),https://suspilne.media/kropyvnytskiy/1359032-u-kropivnickomu-ta-oleksandrii-mitinguvali-na-pidtrimku-eksministra-oboroni,no,ended,2026-07-16,2026-08-18,14,2026-07-19,"A rare case: an own count with two time points. Censor independently confirms «близько 60 учасників» at 09:30. The city was absent from the announcement. REVISED UPWARD in the 6 Aug run: on day 4 co-organiser Denys Markov told Suspilne «до акції долучилися півтори сотні людей», moving the city from <100 to 100–999. Police counted 66 on 20 July, and Hrechka reported «близько 30 учасників» as the stable core by 26 July. 1 SEP UPDATE: last documented action 2026-08-18; 14 distinct documented action days."
Uzhhorod,Zakarpattia,48.6208,22.2879,<100,близько 50 людей,about 50 people,13:31,Suspilne Uzhhorod (National Police of Zakarpattia spokesperson Kateryna Petrunio),https://suspilne.media/uzhhorod/1356348-akciu-na-pidtrimku-mihajla-fedorova-rozpocali-v-uzgorodi/,yes,ended,2026-07-16,2026-08-12,25,2026-07-16,"The 15:00 run added police attribution; at 13:00 the figure had no source. Still a single-source location: no Zakarpattia outlet covered the topic. Participants opened with a minute of silence. Uzhhorod was absent from the announcement. CONTESTED after the 6 Aug run, and a textbook headline-inflation case. Ukrinform's day-3 piece is headlined «В Ужгороді кількість мітингувальників на підтримку Федорова зросла до двох сотень», but its body gives no absolute number at all — only its own correspondent's «нині на зібрання прийшло майже вдвічі більше людей, аніж раніше». Under §3.6 the figure is taken from the body, so the verified absolute counts stand: «близько 50» (police, day 1), «близько 20 осіб» on 30 July (Censor, OBOZ), and «лише 12 людей» on 5 August, where participants told Novyny.LIVE that «зазвичай протестувальників понад три десятки». Uzhhorod is among the most persistent locations in the dataset. 1 SEP UPDATE: last documented action 2026-08-12; 25 distinct documented action days."
Rivne,Rivne,50.6199,26.2516,100–999,зібралися майже 100 людей,almost 100 people gathered,21 Jul (day 6),Suspilne Rivne,https://suspilne.media/rivne/1360846-na-teatralnij-plosi-u-rivnomu-zibralisa-majze-100-ludej-na-mirnu-akciu/,no,ended,2026-07-16,2026-08-19,14,2026-07-21,"The only city where the action was interrupted. At 10:00 protesters stopped and went to Independence Square to pay respects to the family of a fallen defender. REVISED UPWARD in the 6 Aug run: Rivne peaked well above its day-1 fifty. «Майже 100 людей» on 21 July (Suspilne), «понад 50» on 24 July, «понад 40» on 27 July, «приблизно тридцять» on 28 July, then back to «приблизно сто людей» for the 31 July march and «близько ста людей» on 1 August (Rayon.in.ua). Chetverta Vlada counted «близько 150 людей» itself on 24 July, above Suspilne's figure for the same day. RANDOM AUDIT 1 SEP: the 4 August Korrespondent roundup adds one documented action day; last documented action 2026-08-19; 14 distinct documented action days."
Mykolaiv,Mykolaiv,46.9750,31.9946,100–999,До заходу долучилися понад 150 людей,over 150 people joined the event,18 Jul,Suspilne Mykolaiv (day-3 round-up),https://suspilne.media/1358550-u-kievi-ta-insih-mistah-tretij-den-pospil-projsli-protesti-proti-vidstavki-fedorova/,no,ended,2026-07-16,2026-08-17,21,2026-07-18,"Three-day peak; the crowd grew across the wave. Day 1 (16 Jul): «Біля міської ради зібралися 45 людей» (Suspilne Mykolaiv, 11:02; a march along Soborna Street; the national round-up carried the stale «26 людей»), <100. Day 3 (18 Jul): «понад 150 людей» joined (Suspilne day-3 round-up), moving Mykolaiv into 100–999. The clearest decay curve in the dataset, counted almost daily by the dialogue police via Suspilne Mykolaiv: 80 (20 Jul), 35 (21 Jul), 30 (22 Jul), «понад 50» (24 Jul), 55 (25 Jul), 32 (26 Jul), 35 (27 Jul), 25 (28 Jul), and «близько 12 людей» on 3 August. Hard.City noted people gather daily at 18:00 and stand until at least 20:00. 1 SEP UPDATE: last documented action 2026-08-17; 21 distinct documented action days."
Chernivtsi,Chernivtsi,48.2917,25.9352,100–999,вулицями пройшли майже 150 активістів,almost 150 activists marched through the streets,31 Jul (day 16),Молодий буковинець,https://molbuk.ua/news/275612-u-chernivcyakh-vidbulasya-yedyna-protestna-khoda-vulycyamy-proyshly-mayzhe-150-aktyvistiv.html,no,ended,2026-07-16,2026-08-01,5,2026-07-31,"Central Square. Dialogue police were present. Slogans: «Армії - дрони, а не погони», «Працює - не чіпай». REVISED UPWARD in the 6 Aug run: Chernivtsi joined the all-Ukrainian march on 31 July with «майже 150 активістів» (Molodyi Bukovynets), moving it from <100 to 100–999. Days 1-5 stayed at «кілька десятків»."
Zhytomyr,Zhytomyr,50.2547,28.6587,<100,долучилися близько 70 житомирян,about 70 Zhytomyr residents joined,"20 Jul (day 5), 21:00",Suspilne Zhytomyr,https://suspilne.media/zhytomyr/1359934-u-zitomiri-znovu-vijsli-na-protest-proti-vidstavki-fedorova/,no,ended,2026-07-16,2026-08-18,9,2026-07-20,Korolov Square by the oblast administration. The city was absent from the announcement. REVISED UPWARD in the 6 Aug run: day 5 grew from «близько 50 учасників» to «близько 70 житомирян» by 21:00 (Suspilne Zhytomyr); the city stays <100. Zhytomyr.info later reviewed how local media covered the protests. 1 SEP UPDATE: last documented action 2026-08-18; 9 distinct documented action days.
Sumy,Sumy,50.9077,34.7981,<100,до двадцяти людей,up to twenty people,після 13:00,Tsukr (cukr.city),https://cukr.city/news/2026/liudy-pidtrymuiut-mykhayla-fedorova-ministra-oborony-v-sumakh/,no,ended,2026-07-16,2026-08-18,5,2026-07-16,"A different modality, owing to proximity to the front: single pickets by the Sadko fountain plus cardboard signs left on railings and benches around the city. KP.UA reported the action had been cancelled. Refuted by an on-scene report with photographs: «Попри безпекову ситуацію, у Сумах люди вийшли на вулиці». The signs are being torn down. Suspilne has no Sumy material at all. Day 2 (17 Jul): «близько двох десятків людей» again (OBOZ). Settled to took place. No coverage after day 2 in any source checked in the 6 Aug run. 1 SEP UPDATE: last documented action 2026-08-18; 5 distinct documented action days."
Kolomyia,Ivano-Frankivsk,48.5307,25.0364,<100,11 молодих людей,11 young people,10:56,Informator Kolomyia (kl.informator.ua),https://kl.informator.ua/uk/u-kolomiji-aktivisti-viyshli-na-pidtrimku-mihayla-fedorova,no,ended,2026-07-16,2026-08-03,16,2026-07-16,"The 25th location and the smallest action. Found only by the gazetteer sweep of 499 cities; it appears in no round-up. Single source; a targeted search produced no second confirmation. Outside the town hall. Far more persistent than the day-1 snapshot suggested: Suspilne Ivano-Frankivsk's daily round-ups place Kolomyia among the protesting towns on most days of the wave, and UKR.NET reported on 26 July that «В Коломиї активісти не припиняють акції». No figure after day 1."
Chernihiv,Chernihiv,51.4982,31.2893,100–999,понад півтори сотні людей,over a hundred and fifty people,20 Jul (day 5),Suspilne Chernihiv,https://suspilne.media/chernihiv/1359890-hocemo-sob-prezident-nas-pocuv-cernigivci-protestuut-proti-vidstavki-fedorova/,no,ended,2026-07-16,2026-08-03,4,2026-07-20,"Suspilne has material but only participant quotes, no count. The location, Krasna Square, appears in 0462.ua alone. Slogan: «Федоров+. Україна+. Поверніть ефективного МО». NO LONGER unknown: on day 5 Suspilne Chernihiv reported «понад півтори сотні людей» on Krasna Square, the first crowd figure this city produced. IMI later analysed how Chernihiv media covered the wave, noting Suspilne Chernihiv filed more than ten pieces, the most of any local outlet."
Kryvyi Rih,Dnipropetrovsk,47.9105,33.3918,unknown,цифри немає,no figure given,09:24,1kr.ua,https://1kr.ua/ua/news-112818.html,no,ended,2026-07-16,2026-07-24,2,2026-07-16,"A march from the flagpole in Heroiv Park to the 95 Kvartal roundabout. «Сотні людей» in 056.ua is an aggregate estimate covering Dnipro, Kryvyi Rih and Kyiv together; assigning it to this city alone would be an error. Suspilne has no separate desk here. A 24 July report confirms another action («У Кривому Розі також триває картонний мітинг»); 0564.ua covered the paid-protest allegation. No city-level figure was published."
Kremenchuk,Poltava,49.0631,33.4177,unknown,цифри немає,no figure given,10:05,Kremenchutskyi Telehraf,https://www.telegraf.in.ua/topnews/u-kremenchuczi-na-ploshhi-peremogy-prohodyt-akcziya-proty-vidstavky-ministra-oborony-myhajla-fedorova.html,no,ended,2026-07-16,2026-08-19,10,2026-07-16,"Not an oblast capital. Absent from every round-up processed at 13:00, though KP.UA lists it. Victory Square, «кореспонденти з місця події». Still no crowd figure anywhere, but no longer a one-source city: Kremenchutskyi Telehraf and Kremenchutska Hazeta covered it through the whole wave, reporting «Кременчук стоїть уже 21-й день» on 5 August and an action interrupted by an air-raid alert on 25 July. 1 SEP UPDATE: last documented action 2026-08-19; 10 distinct documented action days."
Kherson,Kherson,46.6354,32.6169,online,Через безпекову ситуацію жителі Херсона долучаються до акції онлайн,"Owing to the security situation, Kherson residents are joining the action online",11:37,Vhoru (vgoru.org),https://vgoru.org/novini/xersonci-dolucilisia-do-onlain-akciyi-na-pidtrimku-fedorova-foto,no,online,2026-07-16,2026-07-16,1,2026-07-16,"Kherson joined online because the security situation made a street gathering unsafe. The article's photographs show actions in other cities. No Kherson street action was documented during the full collection period."
Mukachevo,Zakarpattia,48.4392,22.7178,unknown,цифри немає,no figure given,19 Jul,Suspilne / LB / UP (day-4 round-ups),https://lb.ua/society/2026/07/19/753062_kiievi_inshih_mistah_chetvertiy.html,no,ended,2026-07-19,2026-07-21,3,2026-07-16,"New on day 4 (19 Jul). Zakarpattia's second city (~85k); appears in the national day-4 round-ups (LB, UP, 24 Kanal) among the cities that protested, with no crowd figure published. Covered again on days 5-6 alongside Uzhhorod by Suspilne Uzhhorod and Focus; still no crowd figure."
Kamianske,Dnipropetrovsk,48.5110,34.6021,unknown,цифри немає,no figure given,19 Jul,5.ua (day-4 round-up),https://www.5.ua/suspilstvo/u-kyievi-i-inshykh-mistakh-ukrainy-chetvertyi-den-tryvaiut-protesty-za-povernennia-fedorova-ta-vidstavku-syrskoho-380105.html,no,ended,2026-07-19,2026-08-13,2,2026-07-16,"New on day 4 (19 Jul). Dnipropetrovsk oblast (~220k); listed by 5.ua among the day-4 protest cities (Kharkiv, Odesa, Kamianske, Dnipro...), with no crowd figure. No further coverage after day 4. 1 SEP UPDATE: last documented action 2026-08-13; 2 distinct documented action days."
Uman,Cherkasy,48.7484,30.2216,unknown,цифри немає,no figure given,19 Jul,24 Kanal (day-4),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,no,ended,2026-07-19,2026-07-19,1,2026-07-16,"New on day 4 (19 Jul), caught by the gazetteer-grep of the day-4 round-ups (it was in a 24 Kanal per-city subsection, not the comma-list). «Невеличкий мітинг в Умані» with video; no crowd figure. Cherkasy oblast, ~83k. No further coverage after day 4."
Izmail,Odesa,45.3512,28.8365,unknown,Мирні акції проти відставки ексміністра оборони Михайла Федорова відбуваються в Ізмаїлі з 16 липня,Peaceful rallies against the defence minister's dismissal have been held in Izmail since 16 July,20 Jul (day 5),Suspilne Odesa,https://suspilne.media/odesa/1359966-ne-cipaj-togo-hto-die-v-izmaili-molod-vijsla-na-akciu-proti-vidstavki-eksministra-oboroni-fedorova/,no,ended,2026-07-16,2026-07-20,1,,"NEW in the 6 Aug run, and a backfill: Suspilne Odesa states the rallies have run in Izmail since 16 July, so the town was active from day 1 and was missed by the original snapshot. Only day 5 is separately documented, hence days_active = 1. Espreso corroborates («Акції також пройшли в Ізмаїлі, де молодь зібралася в центрі міста») and Radio Svoboda lists it on 21 July. No crowd figure published. Odesa oblast, ~70k."
Kalush,Ivano-Frankivsk,49.0186,24.3699,<100,У Калуші понад 50 людей другий день поспіль зібралися біля будівлі районної державної адміністрації,In Kalush more than 50 people gathered outside the district administration for a second day running,20 Jul (day 5),Suspilne Ivano-Frankivsk (correspondent Dmytro Tkach),https://suspilne.media/ivano-frankivsk/1359820-ni-represiam-vijskovih-protesti-na-frankivsini-den-patij/,no,ended,2026-07-19,2026-07-20,1,2026-07-20,"NEW in the 6 Aug run, and a direct correction to the previous snapshot's §5. Kalush was one of the four towns a rival Telegram map flagged on 17 July and for which the 19 July run found NO verifiable media source, so it was left off the map. It now has one: Suspilne Ivano-Frankivsk's own correspondent reported «понад 50 людей другий день поспіль» on 20 July — «другий день» dating the first Kalush action to 19 July. Ivano-Frankivsk oblast, ~65k."
Sheptytskyi,Lviv,50.3833,24.2333,unknown,"Акцію провели 19 липня біля пам'ятника Тарасу Шевченку, передає Район.Шептицький","The rally was held on 19 July by the Taras Shevchenko monument, Raion.Sheptytskyi reports",19-21 Jul (days 4-6),Район.Шептицький (sheptytskyi.rayon.in.ua),https://sheptytskyi.rayon.in.ua/news/1087975-daite-ministru-praciuvati-u-septickomu-drugii-den-pospil-mistiani-zbiraiutsia-na-miting,no,ended,2026-07-18,2026-07-21,2,,"NEW in the 6 Aug run. Found only through UKR.NET relays, whose originals resolve to the local outlet Raion.Sheptytskyi; that outlet is not indexed by the search route used here, so the town appears in no national round-up. Its second-day piece (19 July) and third-day piece (21 July) date the first action to 18 July. The town council's position on the new rules for mass events is discussed in the third-day piece. No crowd figure. Lviv oblast, formerly Chervonohrad, ~65k."
Oleksandriia,Kirovohrad,48.6689,33.1150,<100,В Олександрії о 17:00 25 людей зібралися на Соборній площі,In Oleksandriia 25 people gathered on Soborna Square at 17:00,"19 Jul (day 4), 17:00",Suspilne Kropyvnytskyi,https://suspilne.media/kropyvnytskiy/1359032-u-kropivnickomu-ta-oleksandrii-mitinguvali-na-pidtrimku-eksministra-oboroni,no,ended,2026-07-19,2026-07-19,1,2026-07-19,"NEW in the 6 Aug run, and a backfill into the original period: Suspilne Kropyvnytskyi covered Oleksandriia's first action on day 4 in the same piece as Kropyvnytskyi's fourth — «19 липня у Кропивницькому четвертий день, а в Олександрії вперше мітингували». Single source, one documented day, exact count with a timestamp. Kirovohrad oblast, ~75k."
Kamianets-Podilskyi,Khmelnytskyi,48.6845,26.5858,unknown,"За інформацією видання ЖАР.INFO, у Кам'янці-Подільському протести тривають уже чотири дні поспіль","According to ZHAR.INFO, protests in Kamianets-Podilskyi have run for four days in a row",21 Jul (day 6),Поділля News (citing ЖАР.INFO),https://podillyanews.com/2026/07/21/u-hmelnytskomu-p-yatyj-den-pospil-protestuvaly-na-pidtrymku-myhajla-fedorova/,no,ended,2026-07-18,2026-07-30,1,,"NEW in the 6 Aug run. Two independent mentions: Podillya News on 21 July, relaying the local outlet ZHAR.INFO and dating the start to 18 July, and NV's 30 July round-up, which lists Kamianets-Podilskyi among the cities that protested that day. Neither publishes a crowd figure and no piece by ZHAR.INFO itself was retrievable, so the town is carried as a relay-sourced location. Khmelnytskyi oblast, ~100k."
