city,oblast,lat,lon,category,quote_uk,quote_en,time,source,link,contested,status,first_day,last_day,days_active,peak_day,note
Zaporizhzhia,Zaporizhzhia,47.8388,35.1396,<100,Близько 60 місцевих жителів вийшли з плакатами,approximately 60 participants,16 Jul 2026; approximate,Суспільне Запоріжжя (approximate),https://suspilne.media/zaporizhzhia/1356314-ruki-get-vid-fedorova-u-zaporizzi-vidbuvsa-kartonnij-miting-na-pidtrimku-ministra-oboroni-ukraini/,no,ended,2026-07-16,2026-08-17,9,2026-07-16,"3 Sep 2026 audit: selected peak 60 on 2026-07-16 (approximate). Documented actions: 9 dates, 2026-07-16 to 2026-08-17. Explicit 16 July local report; 061 own correspondent's >50 is compatible."
Kropyvnytskyi,Kirovohrad,48.5079,32.2623,100–999,до акції долучилися півтори сотні людей.,approximately 150 participants,19 Jul 2026; organiser estimate,suspilne.media (organiser estimate),https://suspilne.media/kropyvnytskiy/1359032-u-kropivnickomu-ta-oleksandrii-mitinguvali-na-pidtrimku-eksministra-oboroni-fedorova/,no,ended,2026-07-16,2026-08-18,14,2026-07-19,"3 Sep 2026 audit: selected peak 150 on 2026-07-19 (organiser estimate). Documented actions: 14 dates, 2026-07-16 to 2026-08-18. Local 19 July article names co-organizer Denys Markov; separate Oleksandriia subsection is not part of this city count."
Uzhhorod,Zakarpattia,48.6208,22.2879,<100,на протест зібралися близько 50 людей.,approximately 50 participants,16 Jul 2026; police estimate,Суспільне Ужгород (police estimate),https://suspilne.media/uzhhorod/1356348-akciu-na-pidtrimku-mihajla-fedorova-rozpocali-v-uzgorodi/,no,ended,2026-07-16,2026-08-12,25,2026-07-16,"3 Sep 2026 audit: selected peak 50 on 2026-07-16 (police estimate). Documented actions: 25 dates, 2026-07-16 to 2026-08-12. The unsupported200 headline is not a verified competing peak. The police approximately50 on16July remains selected; later snapshot and cumulative counts are distinguished."
Rivne,Rivne,50.6199,26.2516,100–999,"за нашими підрахунками, зібралося близько 150 людей.",approximately 150 participants,24 Jul 2026; approximate,4vlada.com (approximate),https://4vlada.com/node/5632,no,ended,2026-07-16,2026-08-19,14,2026-07-24,"3 Sep 2026 audit: selected peak 150 on 2026-07-24 (approximate). Documented actions: 14 dates, 2026-07-16 to 2026-08-19. Fourth Estate's own approximately150 on24July replaces the former21July100 peak. Suspilne's >50 is a compatible lower bound."
Mykolaiv,Mykolaiv,46.9750,31.9946,100–999,До заходу долучилися понад 150 людей.,at least 150 participants,18 Jul 2026; lower bound,Suspilne (Миколаїв) (lower bound),https://suspilne.media/1358550-u-kievi-ta-insih-mistah-tretij-den-pospil-projsli-protesti-proti-vidstavki-fedorova/,no,ended,2026-07-16,2026-08-17,22,2026-07-18,"3 Sep 2026 audit: selected peak 150 on 2026-07-18 (lower bound). Documented actions: 22 dates, 2026-07-16 to 2026-08-17. Mykolaiv subsection explicitly names 18 July; not the neighboring city's count."
Chernivtsi,Chernivtsi,48.2917,25.9352,100–999,У Чернівцях приблизно 150 активісти пройшлися,approximately 150 participants,31 Jul 2026; approximate,Молодий буковинець (approximate),https://molbuk.ua/chernivtsi_news/361173-u-chernivciakh-vidbulasia-yedyna-protestna-khoda-vulyciamy-proishly-maizhe-150-aktyvistiv.html,yes,ended,2026-07-16,2026-07-31,5,2026-07-31,"3 Sep 2026 audit: selected peak 150 on 2026-07-31 (approximate). Documented actions: 5 dates, 2026-07-16 to 2026-07-31. Published alternatives for the peak date: 40. Approximately150 at the31July march versus another local report's vague dozens remains a source discrepancy; timing does not resolve it."
Zhytomyr,Zhytomyr,50.2547,28.6587,<100,Станом на 21:00 акція продовжувалася — до неї долучилися близько 70 житомирян.,approximately 70 participants,20 Jul 2026; approximate,Suspilne (Житомир) (approximate),https://suspilne.media/zhytomyr/1359980-u-zitomiri-ludi-vpate-vijsli-na-akciu-proti-zvilnenna-mihajla-fedorova-z-posadi-ministra-oboroni-ukraini/,no,ended,2026-07-16,2026-08-18,7,2026-07-20,"3 Sep 2026 audit: selected peak 70 on 2026-07-20 (approximate). Documented actions: 7 dates, 2026-07-16 to 2026-08-18. Later 21:00 update versus ~50 at 19:00 assembly in same article. Working publication URL replaces stale city-summary link."
Sumy,Sumy,50.9077,34.7981,<100,стоять до двадцяти людей.,up to 20 participants,16 Jul 2026; upper bound,Цукр (cukr.city) (upper bound),https://cukr.city/news/2026/liudy-pidtrymuiut-mykhayla-fedorova-ministra-oborony-v-sumakh/,no,ended,2026-07-16,2026-08-18,6,2026-07-16,"3 Sep 2026 audit: selected peak 20 on 2026-07-16 (upper bound). Documented actions: 6 dates, 2026-07-16 to 2026-08-18. Tsukr own report explicitly dates Sadko fountain gathering to morning16July."
Kolomyia,Ivano-Frankivsk,48.5307,25.0364,<100,Орієнтовно 40 людей вийшли на площу Відродження,approximately 40 participants,20 Jul 2026; approximate,suspilne.media (approximate),https://suspilne.media/ivano-frankivsk/1359752-ni-represiam-vijskovih-protesti-u-frankivsku-den-patij/,no,ended,2026-07-16,2026-07-20,2,2026-07-20,"3 Sep 2026 audit: selected peak 40 on 2026-07-20 (approximate). Documented actions: 2 dates, 2026-07-16 to 2026-07-20. Only16July and20July are supported dated actions in this corpus. Later IFarticles were incorrectly indexed as Kolomyia via related-news blocks."
Chernihiv,Chernihiv,51.4982,31.2893,100–999,понад півтори сотні людей зібралися на акцію,at least 150 participants,20 Jul 2026; lower bound,Suspilne (Чернігів) (lower bound),https://suspilne.media/chernihiv/1359964-hocemo-sob-prezident-nas-pocuv-cernigivci-protestuut-proti-vidstavki-fedorova-ta-vimagaut-zvilnenna-sirskogo/,no,ended,2026-07-16,2026-07-24,3,2026-07-20,"3 Sep 2026 audit: selected peak 150 on 2026-07-20 (lower bound). Documented actions: 3 dates, 2026-07-16 to 2026-07-24. Local body explicitly dates action to evening20July, Red Square; recover working article instead of stale city-summary URL."
Kryvyi Rih,Dnipropetrovsk,47.9105,33.3918,unknown,невідомо,no supported numerical turnout estimate recovered,"16.07, 09:24 (онов. 09:47)",1kr.ua,https://1kr.ua/ua/news-112818.html,no,ended,2026-07-16,2026-07-24,2,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 2; 2026-07-16 to 2026-07-24. Blank is not zero."
Kremenchuk,Poltava,49.0631,33.4177,<100,Цього разу на мітинг зібралося кілька десятків людей.,normalized estimate: 40 participants,24 Jul 2026; normalized several dozen,Кременчуцька газета (normalized several dozen),https://kg.ua/news/kremenchuk-ta-regioni/u-kremenchuci-znovu-trivayut-mitingi-vimagayut-povernuti-fedorova-do,no,ended,2026-07-16,2026-08-18,9,2026-07-24,"3 Sep 2026 audit: selected peak 40 on 2026-07-24 (normalized several dozen). Documented actions: 9 dates, 2026-07-16 to 2026-08-18. The24July several-dozen convention supports a normalized40 peak;31July has a separate >10 lower bound."
Kherson,Kherson,46.6354,32.6169,online,Через безпекову ситуацію жителі Херсона долучаються до акції онлайн.,participation was online because street assembly was unsafe,"16.07, 11:37 (онов. 13:15)",Вгору (vgoru.org),https://vgoru.org/novini/xersonci-dolucilisia-do-onlain-akciyi-na-pidtrimku-fedorova-foto,no,online,2026-07-16,2026-07-16,1,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 1; 2026-07-16 to 2026-07-16. Blank is not zero."
Mukachevo,Zakarpattia,48.4392,22.7178,unknown,"«Люди вийшли на акції у Києві, Дніпрі, Харкові, Миколаєві, Одесі, Хмельницькому, Вінниці, Кропивницькому, Луцьку, Черкасах, Івано-Франківську, Мукачеві, Чернівцях, Ужгороді та інших містах»",no supported numerical turnout estimate recovered,19.07,LB.ua (зведення за 4-й день),https://lb.ua/society/2026/07/19/753062_kiievi_inshih_mistah_chetvertiy.html,no,ended,2026-07-19,2026-07-20,2,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 2; 2026-07-19 to 2026-07-20. Blank is not zero."
Kamianske,Dnipropetrovsk,48.5110,34.6021,unknown,"Окрім Києва та Львова, акції відбулися в Харкові, Одесі, Кам'янському, Дніпрі, Вінниці, Кременчуці, Івано-Франківську та інших містах України.",no supported numerical turnout estimate recovered,19.07,5.ua (зведення за 4-й день),https://www.5.ua/suspilstvo/u-kyievi-i-inshykh-mistakh-ukrainy-chetvertyi-den-tryvaiut-protesty-za-povernennia-fedorova-ta-vidstavku-syrskoho-380105.html,no,ended,2026-07-19,2026-08-13,2,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 2; 2026-07-19 to 2026-08-13. Blank is not zero."
Uman,Cherkasy,48.7484,30.2216,unknown,«Невеличкий мітинг в Умані»,no supported numerical turnout estimate recovered,19.07,24 Канал (Суспільне),https://24tv.ua/aktsiyi-protestu-ukrayini-19-lipnya-yak-voni-vidbuvalisya-video_n3108406,no,ended,2026-07-19,2026-07-19,1,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 1; 2026-07-19 to 2026-07-19. Blank is not zero."
Izmail,Odesa,45.3512,28.8365,<100,Загалом до участі долучилися близько десяти людей.,approximately 10 participants,20 Jul 2026; approximate,Suspilne (Одеса) (approximate),https://suspilne.media/odesa/1359966-ne-cipaj-togo-hto-die-v-izmaili-molod-vijsla-na-akciu-proti-vidstavki-eksministra-oboroni-fedorova/,no,ended,2026-07-20,2026-07-20,1,2026-07-20,"3 Sep 2026 audit: selected peak 10 on 2026-07-20 (approximate). Documented actions: 1 dates, 2026-07-20 to 2026-07-20. The20July local report's approximately10 is newly recovered; the former unknown category is replaced."
Kalush,Ivano-Frankivsk,49.0186,24.3699,<100,У Калуші понад 50 людей,at least 50 participants,20 Jul 2026; lower bound,Suspilne (Івано-Франківськ) (lower bound),https://suspilne.media/ivano-frankivsk/1359752-ni-represiam-vijskovih-protesti-u-frankivsku-den-patij/,no,ended,2026-07-20,2026-07-20,1,2026-07-20,"3 Sep 2026 audit: selected peak 50 on 2026-07-20 (lower bound). Documented actions: 1 dates, 2026-07-20 to 2026-07-20. 20 July local regional roundup has a distinct Kalush section; neighboring Kolomyia40 is not part of Kalush turnout."
Sheptytskyi,Lviv,50.3833,24.2333,unknown,"«Акцію провели 19 липня біля пам'ятника Тарасу Шевченку, передає Район.Шептицький»",no supported numerical turnout estimate recovered,20.07 (подія 19.07),Район.Шептицький (rayon.in.ua),https://sheptytskyi.rayon.in.ua/news/1087975-daite-ministru-praciuvati-u-septickomu-drugii-den-pospil-mistiani-zbiraiutsia-na-miting,no,ended,2026-07-19,2026-07-19,1,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 1; 2026-07-19 to 2026-07-19. Blank is not zero."
Oleksandriia,Kirovohrad,48.6689,33.1150,<100,В Олександрії о 17:00 25 людей зібралися на Соборній площі.,approximately 25 participants,19 Jul 2026; organiser count,suspilne.media (organiser count),https://suspilne.media/kropyvnytskiy/1359032-u-kropivnickomu-ta-oleksandrii-mitinguvali-na-pidtrimku-eksministra-oboroni-fedorova/,no,ended,2026-07-19,2026-07-19,1,2026-07-19,"3 Sep 2026 audit: selected peak 25 on 2026-07-19 (organiser count). Documented actions: 1 dates, 2026-07-19 to 2026-07-19. Local report explicitly dates first Oleksandriia protest to19July and attributes25 to co-organizer Yeva Batiashova. Distinct from Kropyvnytskyi150."
Kamianets-Podilskyi,Khmelnytskyi,48.6845,26.5858,unknown,Вони розпочалися 16 липня,no supported numerical turnout estimate recovered,21.07 (подія 16.07),Поділля News,https://podillyanews.com/2026/07/21/u-hmelnytskomu-p-yatyj-den-pospil-protestuvaly-na-pidtrymku-myhajla-fedorova/,no,ended,2026-07-16,2026-07-16,1,,"3 Sep 2026 audit: action evidence screened, but no supported numerical turnout estimate was recovered. Documented action dates: 1; 2026-07-16 to 2026-07-16. Blank is not zero."
