city,outlet,headline_uk,link,published,quote_uk,category,status,provenance,provenance_detail_uk,run
Kyiv,AP,Hundreds protest in Kyiv,https://apnews.com/,"16.07, 11:23",«Hundreds of protesters»,100–999,took place,own correspondent,AP,13:00
Kyiv,NV (лайв-блог),Звільнення Михайла Федорова… «картонкові протести» — онлайн,https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, лайв 09:14→12:47",цифри немає: «Протестувальники в Києві вщент заповнили площу і сквер біля театру ім. Франка» (11:01),unknown,took place,own correspondent,"Суспільне, нардеп Железняк, кор. NV Т. Безрук, Reuters (фото)",13:00
Kyiv,Главком,Картонковий майдан повертається?,https://glavcom.ua/country/incidents/kartonkovij-majdan-povertajetsja-fanati-fedorova-zbirajutsja-u-riznikh-mistakh-ukrajini-foto-1131411.html,"16.07, 09:34",невідомо,unknown,took place,not stated,не вказано,13:00
Kyiv,24 Канал,У Києві та багатьох містах відбуваються мітинги проти відставки Федорова,https://24tv.ua/kiyevi-bagatoh-mistah-pochalisya-mitingi-proti-vidstavki-fedorova_n3106551,"16.07, 10:35 (онов. 11:38)",невідомо,unknown,took place,not stated,не вказано,13:00
Kharkiv,Суспільне Харків,«Головна причина – відставка Федорова»: у Харкові проходить акція протесту,https://suspilne.media/kharkiv/1356358-golovna-pricina-vidstavka-fedorova-u-harkovi-prohodit-akcia-protestu-proti-zvilnenna-ministra-oboroni/,"16.07, 10:27 (онов. 12:10)","«Участь в акції прийняли близько 200 людей, повідомила Суспільному речниця поліції Харківщини Людмила Прокопенко»",100–999,took place,police,оцінка поліції ← найнадійніше,13:00
Kharkiv,MediaPort,«У ретроградний Меркурій міністрів не міняють»: у Харкові стартувала акція на підтримку Федорова,https://mediaport.ua/u-retrohradnyy-merkuriy-ministriv-ne-miniaiut-u-kharkovi-startuvala-aktsiia-na-pidtrymku-fedorova/,"16.07, 10:12 (онов. 11:08)","«За оцінками кореспондента, спочатку людей було близько 100, але за пів години їх побільшало орієнтовно до 300»",100–999,took place,own correspondent,власний кореспондент,13:00
Kharkiv,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41",«Щонайменше 300 людей зібралися на площі Свободи»  застаріла — регіоналка дає 200 (поліція),100–999,took place,relay,застаріле дзеркало регіоналки,13:00
Kharkiv,2day.kh.ua (Kharkiv Today),Fedorov back: харків'яни вийшли на мітинг на підтримку ексміністра оборони,https://2day.kh.ua/,"16.07, 09:24 (онов. 09:49)","«У саду Шевченка збираються десятки людей, переважно молодь» + «Люди продовжують підходити»  ранній зріз",<100,took place,own correspondent,власне видання,13:00
Kharkiv,2day.kh.ua,Харків'яни готові стояти на «Федоров back» до голосування у ВР,https://2day.kh.ua/,"16.07, 11:27 (онов. 12:02)","«З дев'ятої години ранку люди мітингують біля станції метро ""Університет""»",unknown,took place,own correspondent,власне видання,13:00
Kharkiv,Накипіло,У Харкові розпочався мітинг проти відставки Михайла Федорова,https://nakypilo.ua/novyny/u-kharkovi-rozpochavsia-mitynh-proty-vidstavky-mykhaila-fedorova/,"16.07, 09:40 / 11:20",невідомо,unknown,took place,own correspondent,власний фотограф,13:00
Kharkiv,057.ua,«Поверніть Федорова»: харків'яни вийшли на акцію підтримки міністра оборони,https://www.057.ua/news/4130778/povernit-fedorova-harkivani-vijsli-na-akciu-pidtrimki-ministra-oboroni,"16.07, 10:07",невідомо,unknown,took place,own correspondent,власне видання,13:00
Kharkiv,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12","«У саду Шевченка на акцію зібралися десятки людей, переважно молодь»",<100,took place,relay,ретрансляція Kharkiv Today,13:00
Kharkiv,NV,«Найефективніший міністр оборони»…,https://nv.ua/ukr/ukraine/events/protesti-u-lvovi-odesi-harkovi-proti-vidstavki-fedorova-novini-ukrajini-16-lipnya-50624720.html,"16.07, 10:02",«в харківському саду Шевченка збираються десятки людей»,<100,took place,relay,ретрансляція Kharkiv Today,13:00
Kharkiv,Censor.NET,"Кропивницький, Вінниця, Миколаїв, Одеса, Харків: українці вийшли на мітинги за Федорова",https://censor.net/ua/photonews/4013779/u-mistah-ukrayiny-prohodyat-aktsiyi-na-pidtrymku-fedorova,"16.07, 10:28",невідомо,unknown,took place,relay,ретрансляція з Telegram (Kharkiv Today),13:00
Dnipro,Суспільне Дніпро,Акція протесту в Дніпрі,https://suspilne.media/dnipro/,"16.07, 09:09 (онов. 12:23)","«На протест зібралися близько 300 людей, їхня кількість збільшується» ← найсвіжіша",100–999,took place,own correspondent,власний кор.,13:00
Dnipro,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 10:53",«У Дніпрі на акцію протесту вийшли кількасот людей»,100–999,took place,relay,Суспільне,13:00
Dnipro,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",«на мітинг зібралися близько сотні людей та кількість учасників зростає»,100–999,took place,relay,фото Суспільного,13:00
Dnipro,Главком,Картонковий майдан повертається?,https://glavcom.ua/country/incidents/kartonkovij-majdan-povertajetsja-fanati-fedorova-zbirajutsja-u-riznikh-mistakh-ukrajini-foto-1131411.html,"16.07, 09:34","«за даними «Суспільного», на початку акції зібралося близько ста людей, однак кількість учасників поступово збільшується»",100–999,took place,relay,Суспільне,13:00
Dnipro,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41","«близько 100 людей, проте їхня кількість збільшується»  застаріла",100–999,took place,relay,застаріле дзеркало,13:00
Dnipro,Nashemisto,—,https://nashemisto.dp.ua/,"16.07, 09:52",невідомо,unknown,took place,own correspondent,власне видання,13:00
Dnipro,056.ua,"Відставка Федорова: у Дніпрі, Кривому Розі та Києві пройшли акції протесту",https://www.056.ua/news/4130761/vidstavka-fedorova-u-dnipri-krivomu-rozi-ta-kievi-projsli-akcii-protestu,"16.07, 09:30",невідомо,unknown,took place,own correspondent,власне видання,13:00
Lviv,ZAXID.NET,Кілька сотень львів'ян вийшли на акцію у підтримку міністра оборони Михайла Федорова,https://zaxid.net/kilka_soten_lvivyan_viyshli_na_aktsiyu_u_pidtrimku_ministra_oboroni_mihayla_fedorova_n1641665,"16.07, 09:30 (онов. 12:01)",«біля пам'ятника Тарасові Шевченку в центрі Львова декілька сотень львів'ян зібралися на акцію»,100–999,took place,own correspondent,власний матеріал,13:00
Lviv,Високий Замок,—,https://wz.lviv.ua/news/555373,"16.07, 10:55","«Кілька сотень учасників, серед яких громадські активісти, волонтери та небайдужі містяни»",100–999,took place,relay,частково ретрансляція (фото Суспільне Львів),13:00
Lviv,Суспільне Львів,У Львові проходить акція проти звільнення Михайла Федорова з посади міністра оборони,https://suspilne.media/lviv/1356350-u-lvovi-prohodit-akcia-proti-zvilnenna-mihajla-fedorova-z-posadi-ministra-oboroni/,"16.07, 09:13",цифри в тілі немає,unknown,took place,own correspondent,кор. з місця події,13:00
Lviv,Гал-Інфо,У Львові проходить масштабна акція на підтримку Михайла Федорова,https://galinfo.com.ua/news/u_lvovi_prohodyt_masshtabna_aktsiya_na_pidtrymku_myhayla_fedorova_451142,"16.07, 10:06",жодної цифри  заголовок «масштабна» не підкріплено,unknown,took place,own correspondent,власне видання,13:00
Lviv,NV,«Найефективніший міністр оборони»…,https://nv.ua/ukr/ukraine/events/protesti-u-lvovi-odesi-harkovi-proti-vidstavki-fedorova-novini-ukrajini-16-lipnya-50624720.html,"16.07, 10:07",невідомо,unknown,took place,relay,Суспільне,13:00
Lviv,DailyLviv,—,https://dailylviv.com/,"16.07, 09:36",невідомо,unknown,took place,relay,дослівна ретрансляція Суспільного,13:00
Odesa,Суспільне Одеса,Акція в Одесі,https://suspilne.media/odesa/,"16.07, 09:37 (онов. 12:09)","«Вони вийшли на Дерибасівську вулицю навпроти Міського саду… Акція розпочалася близько 9:00 і тривала до 11:00. За словами кореспондента Суспільного, на неї прийшли понад сто людей»",100–999,took place,own correspondent,власний кор.,13:00
Odesa,Думська,«Сырского в сырники»: на Дерибасовской прошел митинг,https://dumskaya.net/news/syrskogo-v-syrniki-na-deribasovskoy-proshel-miti-191611/,"16.07, 11:32",«Сотни одесситов собрались на Дерибасовской»; «Большинство участников акции — молодые люди»,100–999,took place,own correspondent,власне видання,13:00
Odesa,NV,«Найефективніший міністр оборони»…,https://nv.ua/ukr/ukraine/events/protesti-u-lvovi-odesi-harkovi-proti-vidstavki-fedorova-novini-ukrajini-16-lipnya-50624720.html,"16.07, 10:07",«в Одесі десятки людей прийшли на акцію»  ранній зріз,<100,took place,relay,Суспільне,13:00
Odesa,Censor.NET,(фоторепортаж),https://censor.net/ua/photonews/4013779/u-mistah-ukrayiny-prohodyat-aktsiyi-na-pidtrymku-fedorova,"16.07, 10:28",невідомо,unknown,took place,relay,ретрансляція з ТГ «Одесса INFO»,13:00
Ivano-Frankivsk,Суспільне ІФ,В Івано-Франківську люди протестують проти звільнення міністра оборони Михайла Федорова,https://suspilne.media/ivano-frankivsk/1356324-v-ivano-frankivsku-ludi-protestuut-proti-zvilnenna-ministra-oboroni-mihajla-fedorova/,"16.07, 09:27",«Орієнтовно дві сотні людей зібралася на площі перед адмінбудівлею з картонними плакатами»; поліція: «до акції долучилися орієнтовно 200 людей»,100–999,took place,police,"власні кор. Р. Сокирко, І. Сендецька-Монюк + поліція",13:00
Ivano-Frankivsk,КУРС,Франківці вийшли на акцію проти звільнення міністра оборони Михайла Федорова,https://kurs.if.ua/frankivczi-vyjshly-na-akcziyu-proty-zvilnennya-ministra-oborony-myhajla-fedorova/,"16.07, 09:26 (онов. 11:42)",«Біля адміністративного будинку на площі Соборності зібралась понад сотня людей… Згодом до акції долучилися ще кількадесят учасників»,100–999,took place,own correspondent,"власний («пише КУРС з акції», С. Мельник)",13:00
Ivano-Frankivsk,0342.ua,Франківці вийшли на мітинг під «Білий дім» через відставку міністра оборони Федорова,https://www.0342.ua/news/4130747/frankivci-vijsli-na-miting-pid-bilij-dim-cerez-vidstavku-ministra-oboroni-fedorova-foto,"16.07, 09:34","«На мітинг прийшли десятки людей із плакатами»  ранній зріз, суперечить поліції",<100,took place,own correspondent,власне видання,13:00
Ivano-Frankivsk,Правда ІФ,«Поверніть Федорова назад»: у Франківську пройшов мітинг проти звільнення міністра оборони,https://pravda.if.ua/povernitio-fedorova-nazad-u-frankivsioku-projshov-mityng-proty-zvilionennya-ministra-oborony-fotoreportazh/,"16.07, 11:40",невідомо,unknown,took place,own correspondent,власне видання,13:00
Ivano-Frankivsk,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41","«Орієнтовно, сотня людей»",100–999,took place,relay,дзеркало регіоналки,13:00
Ternopil,Суспільне Тернопіль,У Тернополі відбувається акція проти звільнення міністра оборони,https://suspilne.media/ternopil/1356390-u-ternopoli-vidbuvaetsa-akcia-proti-zvilnenna-ministra-oboroni/,"16.07, 09:40","«Кореспонденти Суспільного повідомляють, що на протест прийшло майже 100 людей»",100–999,took place,own correspondent,власні кор.,13:00
Ternopil,0352.ua,"«Не ламайте те, що працює»: люди не розходяться, акція протесту під стінами ТОВА триває",https://www.0352.ua/news/4130776/ne-lamajte-te-so-pracue-ludi-ne-rozhodatsa-akcia-protestu-pid-stinami-tova-trivae-foto,"16.07, 10:45",«Понад сотня людей вкотре вийшли на «картонковий майдан»»,100–999,took place,own correspondent,власне видання,13:00
Ternopil,0352.ua,«Федоров — міністр оборони»: що відбувалося сьогодні біля Тернопільської облради,https://www.0352.ua/news/4130754/fedorov-ministr-oboroni-so-vidbuvalosa-sogodni-bila-ternopilskoi-oblradi,"16.07, 10:09",невідомо,unknown,took place,own correspondent,власне видання,13:00
Ternopil,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",невідомо,unknown,took place,open-source photo,фото © 20 хвилин,13:00
Ternopil,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 11:21",невідомо,unknown,took place,not stated,не вказано,13:00
Lutsk,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",«У центрі Луцька 16 липня близько сотні містян вийшли на протест… а також вимогою відправити у відставку головнокомандувача ЗСУ Олександра Сирського»,100–999,took place,not stated,не вказано,13:00
Lutsk,ВолиньPost,—,https://www.volynpost.com/news/267681,16.07,"«Учасники з 9:00 почали збиратися на Театральному майдані Луцька, повідомила кореспондентка Суспільного»",unknown,took place,relay,ретрансляція,13:00
Lutsk,Конкурент,У Луцьку акція протесту через звільнення міністра Федорова,https://konkurent.ua/publication/181952/u-lutsku-aktsiya-protestu-cherez-zvilnennya-ministra-fedorova-foto/,"16.07, 09:30",тіло не витягується (JS-рендер) — не перевірено,unknown,took place,not stated,,13:00
Lutsk,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41",невідомо,unknown,took place,own correspondent,кор. з місця,13:00
Khmelnytskyi,Поділля News,У Хмельницькому містяни вийшли на акцію проти відставки Михайла Федорова,https://podillyanews.com/2026/07/16/u-hmelnytskomu-misiany-vyjshly-na-aktsiyu-proty-vidstavky-myhajla-fedorova/,"16.07, 11:00","«На початку акції, за різними оцінками, зібралися понад шість десятків людей, однак упродовж ранку їхня кількість збільшувалася. Станом на 9:30 місцеві видання повідомляли вже приблизно про сотню учасників»",100–999,took place,relay,ретрансляція місцевих медіа,13:00
Khmelnytskyi,ye.ua,У середмісті Хмельницького відбулася акція проти звільнення міністра оборони Федорова,https://ye.ua/syspilstvo/79616_U_seredmisti_Hmelnickogo_vidbulasya_akciya_proti_zvilnennya_ministra_oboroni_Fedorova.html,"16.07, 12:12",«Близько сотні людей зібралися з плакатами на площі біля ТЦ «Дитячий світ»»,100–999,took place,own correspondent,власна кореспондентка,13:00
Khmelnytskyi,vsim.ua,Хмельничани влаштували акцію проти відставки міністра оборони Федорова,https://vsim.ua/Podii/hmelnichani-vlashtuvali-aktsiyu-proti-vidstavki-ministra-oboroni-fedor-12001840.html,"16.07, 09:20","«Станом на 9:20, участь в мітингу беруть близько сотні людей»",100–999,took place,own correspondent,власний репортаж,13:00
Khmelnytskyi,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",«Близько сотні людей доєдналися до акції протесту у середмісті»,100–999,took place,not stated,не вказано,13:00
Khmelnytskyi,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",«Станом на 9:05 є біля 50 людей»  ранній зріз,<100,took place,open-source photo,фото з відкритих джерел,13:00
Cherkasy,Суспільне Черкаси,Акція в Черкасах,https://suspilne.media/cherkasy/,"16.07, 09:44 (онов. 12:15)","«На зібранні присутні близько сотні містян, повідомили кореспондентки»",100–999,took place,own correspondent,власні кор.,13:00
Cherkasy,dzvin.media,Пікет з картонками: в Черкасах мітингували на захист Федорова,https://dzvin.media/news/mityng-z-kartonkamy-v-cherkasah-mitynguvaly-na-zahyst-fedorova/,"16.07, 09:44","«Всього зібралося біля 30 осіб, переважно молодих людей»  ранній зріз, власне спостереження",<100,took place,own correspondent,власне видання,13:00
Cherkasy,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31","«За інформацією Суспільного, на Соборній площі зібралися близько 30 містян»  цитує ранню версію",<100,took place,relay,ретрансляція,13:00
Cherkasy,procherk.info,—,https://procherk.info/,"16.07, 12:27",«близько сотні»,100–999,took place,relay,вторинне (посилання на Суспільне),13:00
Cherkasy,18000.com.ua,—,https://18000.com.ua/,"16.07, 09:26",невідомо,unknown,took place,own correspondent,власний журналіст,13:00
Zaporizhzhia,Суспільне Запоріжжя,Акція у Запоріжжі,https://suspilne.media/zaporizhzhia/,"16.07, 09:48 (онов. 10:51)",«Близько 60 місцевих жителів вийшли з плакатами»,<100,took place,own correspondent,власний кор.,13:00
Zaporizhzhia,061.ua,Запоріжці вийшли на акцію протесту через рішення Зеленського звільнити Федорова,https://www.061.ua/news/4130779/zaporizci-vijsli-na-akciu-protestu-cerez-risenna-zelenskogo-zvilniti-fedorova,"16.07, 10:19",«Попри повітряну тривогу та щоденні обстріли… зібралось понад півсотні людей. Вона проходила в центрі міста — на бульварі Шевченка»,<100,took place,own correspondent,власне видання,13:00
Zaporizhzhia,inform.zp.ua,—,https://inform.zp.ua/,"16.07, 09:57",невідомо,unknown,took place,own correspondent,власне видання,13:00
Zaporizhzhia,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 11:38",«близько 60 людей вийшли з «картонками»»,<100,took place,relay,Суспільне,13:00
Zaporizhzhia,ТСН,(зведення),https://tsn.ua/ukrayina/syrskomu-ye-zamina-u-kyyevi-i-lvovi-spalakhnuly-protesty-proty-zvilnennia-fedorova-onlayn-foto-video-3128690.html,"16.07, 09:31",«Близько 60 запоріжців виступили з незгодою»,<100,took place,open-source photo,фото з відкритих джерел,13:00
Poltava,poltava.to,—,https://poltava.to/news/87324/,"16.07, 10:04",«16 липня близько 70 полтавців зібралися в центрі міста»,<100,took place,own correspondent,власне видання,13:00
Poltava,kolo.news,—,https://kolo.news/category/suspilstvo/48203,"16.07, 11:55","«Загалом, за нашими підрахунками, на Театральну площу прийшли близько 70 осіб»",<100,took place,own correspondent,власний підрахунок,13:00
Poltava,NV (лайв),(лайв-блог),https://nv.ua/ukr/ukraine/politics/vidstavka-mihayla-fedorova-prizvela-do-kritiki-i-zaklikiv-do-kartonkovih-protestiv-novini-ukrajini-50624683.html,"16.07, 11:25","«У центрі Полтаві на протест вийшли близько сотні людей, повідомляє Суспільне»  у статті Суспільного Полтава цієї цифри НЕМАЄ",100–999,took place,relay,нібито Суспільне,13:00
Poltava,Суспільне Полтава,Акція в Полтаві,https://suspilne.media/poltava/,16.07,цифри немає,unknown,took place,own correspondent,власний кор.,13:00
Uzhhorod,Суспільне Ужгород,Акцію на підтримку Михайла Федорова розпочали в Ужгороді,https://suspilne.media/uzhhorod/1356348-akciu-na-pidtrimku-mihajla-fedorova-rozpocali-v-uzgorodi/,"16.07, 09:12",«На протест зібралися близько 50 людей»,<100,took place,own correspondent,власна кор. Яна Созанська,13:00
Rivne,Суспільне Рівне,"«Це постріл собі в ногу, причому нога тільки одна»: що розповіли учасники акції на підтримку Михайла Федорова у Рівному",https://suspilne.media/rivne/1356468-ce-postril-sobi-v-nogu-pricomu-noga-tilki-odna-so-rozpovili-ucasniki-akcii-na-pidtrimku-mihajla-fedorova-u-rivnomu/,"16.07, 11:15",«Приблизно півсотні людей взяли участь в акції»,<100,took place,own correspondent,власна авторка Юлія Савчук,13:00
Rivne,Рівне Вечірнє,У Рівному мітингують проти відставки міністра Федорова,https://rivnepost.rv.ua/news/u-rivnomu-mitynguyut-proty-vidstavky-ministra-fedorova/,"16.07, 09:33",«На Театральній площі в центрі міста зібралися десятки людей з плакатами»,<100,took place,own correspondent,власна авторка Олена Ракс,13:00
Rivne,ZAXID.NET,(зведення),https://zaxid.net/ukrayintsi_viyshli_na_mitingi_proti_vidstavki_mihayla_fedorova_z_posadi_ministra_oboroni_n1641668,"16.07, 10:12",невідомо,unknown,took place,relay,ретрансляція Суспільного,13:00
Rivne,24 Канал,(зведення),https://24tv.ua/kiyevi-bagatoh-mistah-pochalisya-mitingi-proti-vidstavki-fedorova_n3106551,"16.07, 10:35",невідомо,unknown,took place,not stated,не вказано,13:00
Mykolaiv,Суспільне Миколаїв,Акція у Миколаєві,https://suspilne.media/mykolaiv/,"16.07, 09:42 (онов. 11:02)","«Біля міської ради зібралися 45 людей»; «Захід тривав близько 1,5 години»",<100,took place,own correspondent,власний кор.,13:00
Mykolaiv,0512.com.ua,У Миколаєві пройшла акція протесту на підтримку Михайла Федорова,https://www.0512.com.ua/news/4130816/u-mikolaevi-projsla-akcia-protestu-na-pidtrimku-mihajla-fedorova-foto,"16.07, 11:10",«взяли участь близько пів сотні людей»,<100,took place,own correspondent,власне видання,13:00
Mykolaiv,Суспільне (нац.),(зведення),https://suspilne.media/1356356-u-kievi-zbirautsa-na-kartonkovij-protest-na-pidtrimku-fedorova/,"16.07, онов. 11:41",«зібралися 26 людей з плакатами»  застаріла,<100,took place,relay,застаріле дзеркало,13:00
Mykolaiv,Главком,Картонковий майдан повертається?,https://glavcom.ua/country/incidents/kartonkovij-majdan-povertajetsja-fanati-fedorova-zbirajutsja-u-riznikh-mistakh-ukrajini-foto-1131411.html,"16.07, 09:34",«Біля будівлі міської ради зібралися 26 людей»  підзаголовок каже «кілька десятків» — беремо тіло,<100,took place,not stated,не вказано,13:00
Mykolaiv,Censor.NET,(фоторепортаж),https://censor.net/ua/photonews/4013779/u-mistah-ukrayiny-prohodyat-aktsiyi-na-pidtrymku-fedorova,"16.07, 10:28","«близько 10:00 відбувся мітинг із картонними плакатами, на який вийшло приблизно 30 людей»",<100,took place,relay,ретрансляція (МикВісті)  містить помилку: «міністра цифрової трансформації»,13:00
Mykolaiv,24 Канал,(зведення),https://24tv.ua/kiyevi-bagatoh-mistah-pochalisya-mitingi-proti-vidstavki-fedorova_n3106551,"16.07, 10:35",невідомо,unknown,took place,not stated,не вказано,13:00
Chernivtsi,Суспільне Чернівці,"«Сирського в Скелю, Федорова – в МО»: кілька десятків людей у Чернівцях вийшли на акцію підтримки",https://suspilne.media/chernivtsi/1356404-kilka-desatkiv-ludej-u-cernivcah-vijsli-na-akciu-pidtrimki-mihajla-fedorova/,"16.07, 10:00",«у Чернівцях кілька десятків людей вийшли на Центральну площу»,<100,took place,own correspondent,власний кор.,13:00
Chernivtsi,Чернівецький промінь,У Чернівцях протестують проти звільнення Михайла Федорова з посади міністра оборони,https://promin.cv.ua/2026/07/16/u-chernivtsiakh-protestuiut-proty-zvilnennia-mykhaila-fedorova-z-posady-ministra-oborony.html,16.07,«На Центральній площі міста в акції взяли участь десятки людей»,<100,took place,own correspondent,власне видання,13:00
Chernivtsi,0372.ua,У Чернівцях люди вийшли на протест проти відставки Михайла Федорова,https://www.0372.ua/news/4130748/u-cernivcah-ludi-vijsli-na-protest-proti-vidstavki-mihajla-fedorova-foto,"16.07, 09:41",невідомо,unknown,took place,own correspondent,власна кор. Марія Мартинюк,13:00
Chernivtsi,Молодий буковинець,—,https://molbuk.ua/chernivtsi_news/360348,"16.07, 10:35",невідомо,unknown,took place,own correspondent,власне видання,13:00
Chernivtsi,Шпальта,«Зараз не час для дурних рішень»: у Чернівцях триває мирний протест проти відставки міністра оборони Федорова,https://shpalta.media/2026/07/16/zaraz-ne-chas-dlya-durnix-rishen-u-chernivcyax-trivaye-mirnij-protest-proti-vidstavki-ministra-oboroni-fedorova/,16.07,невідомо,unknown,took place,own correspondent,власне видання,13:00
